conversation_id_str,created_at,full_text,lang,username,relevance_label,sentiment_auto,sentiment_manual
9.26E+17,2/11/2017 0:04,the case of 5 uni students charged with murdering (upnm) naval cadet zulfarhan osman zulkarnain will be mention at the high court on nov 10.,en,baikragu,relevan,negative,neutral
9.29E+17,10/11/2017 7:30,six upnm students have pleaded not guilty to abetting and murdering their fellow university cadet officer zulfarhan osman https://t.co/jjmglcjalo https://t.co/gc3mlb3wza,en,AstroRadioNews,relevan,negative,neutral
9.31E+17,17/11/2017 10:09,a malaysian tragedy: the torture and murder of cadet zulfarhan osman https://t.co/ptiu9jbffp,en,SCMPNews,relevan,negative,neutral
9.31E+17,17/11/2017 10:10,a malaysian tragedy: the torture and murder of cadet zulfarhan osman https://t.co/ahnn3phyfk https://t.co/m30cft9l5n,en,AndyVermaut,relevan,negative,neutral
9.31E+17,17/11/2017 10:15,#ceritalahasean a malaysian tragedy: the death of cadet zulfarhan osman https://t.co/ewlk11g2vb https://t.co/mwkw1uqt6i,en,501Awani,relevan,negative,neutral
9.31E+17,17/11/2017 10:17,#ceritalahasean a malaysian tragedy: the death of cadet zulfarhan osman https://t.co/ueag4kn762 https://t.co/b694dvtak0,en,mat4g13,relevan,negative,neutral
9.31E+17,17/11/2017 10:27,ceritalah asean a malaysian tragedy the death of cadet zulfarhan osman https://t.co/vl534hcmuy https://t.co/r7b529ac2c,en,MediaLantang,relevan,negative,neutral
9.31E+17,17/11/2017 10:56,ceritalah asean a malaysian tragedy the death of cadet zulfarhan osman https://t.co/ign5pneygv https://t.co/6ohplmuptx,en,UpdatesMalaysia,relevan,negative,neutral
9.31E+17,17/11/2017 11:03,the parents of malaysian cadet zulfarhan osman who was burned with a steam iron are determined to find the... https://t.co/5kdveh3lal,en,ivanzhai,relevan,positive,neutral
9.31E+17,17/11/2017 11:16,a malaysian tragedy: the torture and murder of cadet zulfarhan osman https://t.co/yrkei9bk6c,en,NamVietNetwork,relevan,negative,neutral
9.31E+17,17/11/2017 11:40,a malaysian tragedy: the torture and murder of cadet zulfarhan osman https://t.co/ujebks51th,en,SCMPNews,relevan,negative,neutral
9.31E+17,17/11/2017 12:19,sounds familiar #ustlaw? and yet here we are considering the plausibility of the heart-condition defense of aegis juris. what kind of lawyers are you breeding there? a malaysian tragedy: the murder of cadet zulfarhan osman https://t.co/zdieodq1ae,en,theginoubasgopo,relevan,negative,negative
9.32E+17,17/11/2017 14:40,justice for zulfarhan osman https://t.co/dkhbs6jyh9,en,fariqzzz,relevan,positive,positive
9.32E+17,17/11/2017 18:20,a malaysian tragedy: the torture and murder of cadet zulfarhan osman https://t.co/z5gr6teyyy,en,SCMPNews,relevan,negative,neutral
9.32E+17,19/11/2017 6:55,a malaysian tragedy: the murder of cadet zulfarhan osman https://t.co/ucyz3sfggv,en,poolrednuts,relevan,negative,neutral
9.36E+17,29/11/2017 13:54,happy birthday arwah zulfarhan osman.,en,amieyrazmi_,relevan,positive,negative
9.42E+17,15/12/2017 8:25,parents of cadet zulfarhan osman continue to seek answers for the death of their son who was burnt with a steam iron and beaten before succumbing to his injuries more than a week later. read more here at https://t.co/yqllairjtl. https://t.co/1bjhncb2zy,en,thefutureconomy,relevan,negative,neutral
9.45E+17,24/12/2017 6:19,freemalaysiatoday students deaths cast spotlight on bullying https://t.co/pkgvopoxf6 - kuala lumpur: the deaths of two students in june this year cast the spotlight on the issue of bullying in the country. the deaths of t. nhaveen and navy cadet officer zulfarhan osman zul ,en,MalaysiaNews,relevan,negative,neutral
9.45E+17,24/12/2017 7:40,themalaymail students deaths cast spotlight on bullying https://t.co/03yqet4b2b - kuala lumpur dec 24 the deaths of two students in june this year cast the spotlight on the issue of bullying in the country. the deaths of t. nhaveen and navy cadet officer zulfarhan osman ,en,MalaysiaNews,relevan,negative,neutral
9.50E+17,7/1/2018 5:57,a malaysian tragedy: the murder of cadet zulfarhan osman https://t.co/vjixyh30cs via @scmp_news,en,AlastairSiu,relevan,negative,neutral
9.58E+17,29/1/2018 23:15,the star &gt; prosecution to prove upnm cadet tortured to death - kuala lumpur: the prosecution will prove the death of universiti pertahanan nasional malaysia (upnm) student cadet officer zulfarhan osman zulkar­nain was due to the fact he was beaten ... https://t.co/fcowydfvtm,en,InsJournal,relevan,negative,neutral
9.58E+17,30/1/2018 8:00,themalaymail zulfarhan s murder trial: prosecution to prove 19 upnm students involved https://t.co/yl5nlo4jdh - kuala lumpur jan 29 the prosecution will prove that the death of universiti pertahanan nasional malaysia (upnm) student cadet officer zulfarhan osman zulkarnai ,en,MalaysiaNews,relevan,negative,neutral
9.79E+17,28/3/2018 15:04,cadet officer was dehydrated during visit to clinic says doctor the wounds on cadet officer zulfarhan osman zulkarnain were healing well but vomited several times during... https://t.co/k4nodnwwh1,en,rusahang,relevan,positive,negative
9.89E+17,26/4/2018 11:27,witness unsure zulfarhan osman was allergic to prescribed medications https://t.co/jqijzvis6j https://t.co/gsg57bccdm,en,bernamadotcom,relevan,negative,neutral
1.00E+18,31/5/2018 16:36,its been a year sahabat... all of those laughs &amp; jokes sharing thoughts &amp; nonsenses tears &amp; madness :') al-fatihah zulfarhan osman i know you doing great there :')),en,_lalawatson,relevan,positive,positive
1.01E+18,26/6/2018 11:45,witness: zulfarhan osman denied taking laptop https://t.co/veymzajxqm,en,malaymail,relevan,negative,neutral
1.01E+18,26/6/2018 11:51,zulfarhan osman says he did not take laptop - witness https://t.co/avau5wundz,en,bernamadotcom,relevan,neutral,neutral
1.01E+18,26/6/2018 12:14,zulfarhan osman says he did not take laptop: witness https://t.co/nrcf3rc7ct https://t.co/if6gm8vba3,en,theSundaily,relevan,neutral,neutral
1.01E+18,27/6/2018 12:14,@bernamadotcom justice must prevail for zulfarhan osman...this is a torture murder... a life for a life ...prove to rakyat ''no one is above the law'' in ph gov... @msabu_official @pdrmsia,en,dawnmalaysia,relevan,negative,negative
1.01E+18,27/6/2018 14:42,the saddest part about zulfarhan osman's death was it was by the hands of people he once called 'friends'. ,en,myrajojooo,relevan,negative,negative
1.01E+18,27/6/2018 15:26,witness: i wrote poison-pen letters alleging zulfarhan osman abuse https://t.co/45rijzcdcl,en,malaymail,relevan,negative,neutral
1.01E+18,29/6/2018 1:32,@syirasuhaimy sedihnya baca.. tak jantan betul pukul ramai2 ikat. aku harap mereka mati terbakar sial,in,friedchikenbabe,relevan,negative,negative
1.01E+18,29/6/2018 1:35, @pedoqpop aku baca comment sekali nampak kau kata tertuduh tu gelak gelak pergh menyirap siot. biar dia jalan jatuh longkang lepas tu pinggang patah lepas tu lumpuh. biar tersiksa hidup mereka. Tak pun accident kaki putus tangan putus. aihh tak layak pun jadi tentera.,in,ifwatizaham,relevan,neutral,negative
1.01E+18,29/6/2018 2:27,@syirasuhaimy padia ayah tertuduh ugut saksi suruh tukar statement. anak dah buat hal berani buat berani tanggung la.,in,harithnurhaq,relevan,neutral,negative
1.01E+18,29/6/2018 2:28,@syirasuhaimy i wanna each f*cking of them dead. those f*cking bastard does not deserve to live. juz because of a laptop universiti killed that guy. dasar setan bertopengkan manusia betul!!!,en,shahzshams,relevan,negative,negative
1.01E+18,29/6/2018 5:05,@syirasuhaimy @ihahmiehah aku syak atuk dia dulu selalu backup salah ayah dia. ayah dia backup salah anak dia. kalau dia ada anak pun dia backup. keturunan yang lahir dari ibu bapa yang jeling bila orang tegur anak dia,in,nordayan1,relevan,neutral,negative
1.01E+18,29/6/2018 5:07,@syirasuhaimy ya allah im speechless allahuakbar,in,Hxnxzz,relevan,neutral,negative
1.01E+18,29/6/2018 5:48,@syirasuhaimy case ni tak selesai lgi ke?,in,jokercrew69,relevan,neutral,neutral
1.01E+18,29/6/2018 7:22,may justice be served upnm cadet officer zulfarhan osman zulkarnain tortured by more than 10 students high court told https://t.co/o9skpwhzrh,en,peachjahashim,relevan,negative,positive
1.01E+18,29/6/2018 7:48,@syirasuhaimy teruknya ,in,nunuuuela,relevan,neutral,negative
1.01E+18,29/6/2018 8:24,@syirasuhaimy @thaniaelisha ya allah kau bagi lah mereka di culik dan diseksa macam cerita saw,in,manjopie,relevan,neutral,negative
1.01E+18,29/6/2018 9:02,@syirasuhaimy mati je la pesalah tu. tak guna hidup tiada otak. ingat senang ke mak ayah jaga dari kecik. bila besar kena bunuh dengan orang bodoh tak belajar macam ini. elok masuk uni tapi bebal takleh beza baik dengan buruk.,in,_ayunicorn_,relevan,neutral,negative
1.01E+18,29/6/2018 10:28,@syirasuhaimy it s normal . everyone have their soft side. to be honest the deceased suffered a lot .,en,maxxximus46,relevan,neutral,negative
1.01E+18,29/6/2018 10:49,@syirasuhaimy even myself kena 2nd burn injury terjirus air masak pun dah mengelupur apatah lagi arwah yang ditekap seterika wap berkali kali ya allah,in,syhrhisa_,relevan,negative,negative
1.01E+18,29/6/2018 11:24,@syirasuhaimy @notorioustapir tak sanggup nak baca.. baca tajuk pun sah terbayang-bayang azabnya,in,cik_iira,relevan,neutral,negative
1.01E+18,29/6/2018 11:55,@syirasuhaimy god bless universiti. it is for this very reason that we need lawyers like your good self defending the innocent.,en,tj_wong,relevan,positive,positive
1.01E+18,29/6/2018 12:18,@syirasuhaimy cepatlah hukum mati mandatori dekat dieorang tu. ya allah geramnya jantan bodoh macam tu. tu bukan manusia tu binatang namanya. mak bapak dieorang pun same je anak sudah membunuh pun still nak selamatkan. alahai bodoh.,in,seowonra,relevan,neutral,negative
1.01E+18,29/6/2018 13:30,upnm cadet officer zulfarhan osman zulkarnain tortured by more than 10 students high court told https://t.co/pazafotzqf,en,znyisml,relevan,negative,neutral
1.01E+18,29/6/2018 13:40,@syirasuhaimy i cannot imagine macam mana arwah rasa bila dia kena seksa tu... sakit hati bila baca artikel tu..,in,_iirfann_,relevan,negative,negative
1.01E+18,29/6/2018 14:58,@syirasuhaimy attempt ayah nak cover up his son's crime ? wow just wow. #justiceforzulfarhan https://t.co/lfnbrgdna2,en,msayla_,relevan,positive,negative
1.01E+18,29/6/2018 17:02,@syirasuhaimy entah macam mana perasan pencuri sebenar tu kan. sampai mati hidup tak tenang,in,azlancepticon,relevan,neutral,negative
1.01E+18,29/6/2018 17:25,@syirasuhaimy sapa sapa yang terlibat dalam kes zul dont deserve a second chance. masa buat takpikir sampai melayang nyawa member mereka buat.,in,nsuffiah_,relevan,negative,negative
1.01E+18,29/6/2018 18:41,@syirasuhaimy sebab laptop je and where s the laptop now? hmmmm,en,FaizHyo,relevan,neutral,neutral
1.01E+18,30/6/2018 1:45,@syirasuhaimy sambil baca terbayangkan macam mana arwah kena seksa.,in,norarsmn,relevan,neutral,negative
1.01E+18,30/6/2018 2:16,@syirasuhaimy @magskl75 that was painful to read. may justice prevail. my thoughts are with the deceased s parents.,en,dnonfire,relevan,positive,positive
1.01E+18,30/6/2018 5:11,@syirasuhaimy gosh. based in the articles masih lagi ada parents yang defend anak buat kesalahan. smh,in,_jihaaa,relevan,negative,negative
1.01E+18,30/6/2018 6:26,@syirasuhaimy nak tanya la kenapa saksi tu tak report pada lecturer ataupun sesiapa jelah yang boleh tolong? kenapa saksi tak panggil kawan2 dia untuk tolong jugak leraikan buli tu. im so curioussss,in,salsabilaaaa88,relevan,neutral,neutral
1.03E+18,16/8/2018 14:26,friend sends poison-pen letters on abuse to zulfarhan osman to avoid similar treatment https://t.co/lbhtl3l8ni,en,malaymail,relevan,negative,neutral
1.05E+18,16/10/2018 13:17,i have to agree with this especially bila terfikir macam kes zulfarhan osman tu... tortured to death. even the murderers tak kena tali gantung penjara seumur hidup they still can get their degree still ade a few things they can achieved. tapi the pain of keluarga mangsa?,en,EncheMz,relevan,negative,negative
1.06E+18,24/10/2018 14:51,tomorrow is court hearing of zulfarhan osman murder case. #zulfarhan,en,baikragu,relevan,negative,neutral
1.06E+18,26/10/2018 9:21,next hearing 27th october. friend sends poison-pen letters on abuse to zulfarhan osman to avoid similar treatment | malay mail https://t.co/mmxhy2e5tw,en,baikragu,relevan,negative,neutral
1.06E+18,12/11/2018 12:48,i saw who hit zulfarhan osman with hot iron witness tells court https://t.co/vsrxj2zrzj,en,malaymail,relevan,neutral,neutral
1.06E+18,12/11/2018 12:52,i saw who hit used hot iron on zulfarhan osman - witness https://t.co/wbnearezw0,en,bernamadotcom,relevan,neutral,neutral
1.06E+18,12/11/2018 23:09,i saw who hit used hot iron on zulfarhan osman witness https://t.co/tjwpqgdg2u https://t.co/8tj9pzqlry,en,sarawakvoice,relevan,neutral,neutral
1.09E+18,23/1/2019 13:10,#nstcourt a witness saw one of the accused in the cadet marine officer zulfarhan osman zulkarnain s murder case holding a steam iron before the murder. https://t.co/iivq0wc4eg,en,NST_Online,relevan,negative,neutral
1.09E+18,23/1/2019 23:08,@asrulmm @redrun_ alfatihah untuk arwah adib,in,xziexdnxn,relevan,neutral,neutral
1.09E+18,24/1/2019 2:50,@asrulmm @darkgreyballoon bully is totally not acceptable. they should be cane... as a mother i felt so sad and hurt by looking at the amount of injuries this boy has on his body. no one deserves to die in this manner. may the world be peace and more loving..,en,szehighli5ht,relevan,negative,negative
1.09E+18,24/1/2019 4:07,@asrulmm tak salah aku hakim sudah ketuk tukul jatuhkan hukuman ke belum lagi?,in,mhdfdllh,relevan,neutral,neutral
1.09E+18,24/1/2019 5:36,justice for zulfarhan osman,en,Fareez11,relevan,positive,positive
1.09E+18,24/1/2019 7:11,@asrulmm kesian arwah hmm..dekat dunia boleh lari dan dengan manusia kome boleh tipu tapi bila dengan allah sampai akhirat weyh kome tanggung..,in,ShashaGurlz96,relevan,neutral,negative
1.09E+18,24/1/2019 9:27,@asrulmm @kakkumei jangan lupa juga keadilan untuk indira. suami beliau masih 'gagal' ditemui..,in,MaslenAhmed,relevan,neutral,neutral
1.09E+18,24/1/2019 10:25,@asrulmm @hzmnskndr did universiti know them? #justiceforzulfarhan,en,feyra_daisy,relevan,neutral,neutral
1.09E+18,24/1/2019 10:35,@asrulmm @adibahnoor tenang senang dan lenang ke hidup bila dah bunuh orang eh?,in,KhadijahSuhaimy,relevan,neutral,negative
1.09E+18,24/1/2019 11:00,@asrulmm @adibahnoor notorious barbaric murder that seems has implied no punishment towards the accused.,en,Olivedeen1,relevan,negative,negative
1.09E+18,24/1/2019 12:02,@asrulmm masih kes pendakwaan pun kan? belum masuk kes pembelaan lagi,in,zomdykiwi,relevan,neutral,neutral
1.09E+18,24/1/2019 14:03,@asrulmm @nohaljuffry ni lagi sedih dri bdk cina eksiden msuk dalam laut tu..sebab dia disiksa hdup2..allahu..betapa sakitnya..moga syurga buatmu..alfatihah..moga si pelaku2 dihukum setimpalnya,in,sweetgegel93,relevan,negative,negative
1.09E+18,24/1/2019 14:09,@asrulmm @frzadl statement nie aku tuju dekat budak upnm.. nak buli ke apa.. xperlu la smpai mati anak orang.. tapi itu la budaya dalam tu kan budaya bangang mak bapak xdidik betul-betul..xsemua tapi sebab segelintir budak upnm yang agaknye lahir otak xcukup berkembang.. satu upnm dapat nama busuk..,in,SufeYusof,relevan,positive,negative
1.09E+18,24/1/2019 14:24,@asrulmm how can human be very inhuman. disgusting!,en,noorlianamhmd,relevan,negative,negative
1.09E+18,24/1/2019 15:47,@asrulmm @amiramarlisya binatang pun tak macam ni tak de perasaan ke masa pembuli tu tengok arwah kena tekap dengan seterika tu ya allah seksa nya tahan sakit semoga syurga tempat arwah zulfarhan.,in,nesyawani,relevan,positive,negative
1.09E+18,24/1/2019 16:38,@asrulmm @bharianmy @sinaronline @umonline @staronline kena flashbalik kes ni,in,ariyako,relevan,positive,neutral
1.09E+18,24/1/2019 17:11,@asrulmm semoga allah permudahkan urusan keluarga arwah dan pihak yang terlibat ,in,peachteaais,relevan,positive,positive
1.09E+18,24/1/2019 23:27,@asrulmm someone had to die before this thing is even addressed,en,asrafkaizen,relevan,negative,negative
1.09E+18,25/1/2019 1:07, @asrulmm moga allah terus beri kita jalan kearah dia dan ampuni dosa-dosa yang telah kita lakukan,in,suhana_kmrdn,relevan,neutral,positive
1.09E+18,25/1/2019 1:51, @asrulmm @amirahayub kalau aku la. aku tak kan maafkan smpai mampus kepada pesalah. adil ke???? wtf,in,AzizulPapajoe,relevan,negative,negative
1.09E+18,25/1/2019 4:06,@asrulmm @nrfthihh sakit hati mak dia menanggung kesedihan anak nya mati dalam cara yang macam tu,in,hoepyie,relevan,negative,negative
1.09E+18,25/1/2019 4:24, @asrulmm @wanfaizin1 harap-harap mereka lunyai kena pijak oleh yang senior-senior di penjara kelak. jangan bagi mati. bagi pecah patah riuk pastu belum sembuh sangat tetapi dah kena lagi sampai patah riuk semula. amin ya rabbal alamin,in,lynnmael,relevan,neutral,negative
1.09E+18,25/1/2019 13:18,@asrulmm kalau kena mandatori pun 6 orang tu takpe mak ayah kehilangan anak ni lagi teruk dari anak kehilangan mak ayah tahu dak ee gerammm ,in,yayazarif,relevan,neutral,negative
1.09E+18,25/1/2019 16:31,@asrulmm @annsazhar aku harap lepas ni yang belasah tu pulak akan mampus,in,ttamiiiii_,relevan,neutral,negative
1.09E+18,25/1/2019 22:01,@asrulmm allahai. tak selesai lagi? kesiaannn,in,inamohd,relevan,neutral,negative
1.09E+18,26/1/2019 0:04,@asrulmm @amalinaamohamed scare place only at upnm huhu lebih baik masuk kolej biasa je,in,ummi_nun,relevan,negative,negative
1.09E+18,26/1/2019 16:02, @asrulmm @fadlanhaiman tak lupa..kami tak kan lupa apa yang pembunuh-pembunuh kejam tu buat dekat arwah.. semoga kebenaran akan terbukti dan pembunuh-pembunuh tu akn mendapat hukuman secepat mungkin,in,heyitsmeshiba,relevan,positive,negative
1.09E+18,26/1/2019 22:07,@asrulmm @_nuyaaaa aku kena iron sikit pun dah nak nangis,in,Ayuzulkifli2,relevan,neutral,negative
1.09E+18,3/7/2019 3:42,@asrulmm up balik kes ni please....,en,orchidsandraa,relevan,neutral,neutral
1.15E+18,7/7/2019 18:19,zulfarhan osman is my friend's brother. poor her &amp; her family. :(,en,blcksoya,relevan,negative,negative
1.15E+18,8/7/2019 1:48,after a long 2years waiting for this news. today is the day. may justice prevail for allahyarham zulfarhan osman zulkarnain.,en,frhaieniskndr,relevan,positive,positive
1.15E+18,8/7/2019 9:25,this case was about 22-year-old cadet officer of upnm zulfarhan osman zulkarnain who was allegedly murdered was tortured by more than 10 students last year due to dispute over a laptop. it was one of cruel bullying case in malaysia.,en,HanaHunney99,relevan,negative,neutral
1.15E+18,8/7/2019 12:00,rt asrulmm: the only news that matters to me today 8 july is the outcome of allahyarham zulfarhan osman zulkarnain s trial. al-fatihah bu 2019-07-08t12:00:12.000z,en,hwakken,relevan,neutral,neutral
1.15E+18,8/7/2019 14:53,@bharianmy thanks me later untuk yang malas membaca. seriously kritikal sebab bertukar ubat hingga mmbawa kepada kematian ?????!!! https://t.co/nqpahc4pw2,in,SyakirDahInsaf,relevan,positive,neutral
1.15E+18,8/7/2019 15:19,@bharianmy semoga ada justice for this boy please,en,qamraqurratuain,relevan,positive,positive
1.09E+18,8/7/2019 15:43, @asrulmm jangan maafkan mereka-mereka yang zalim nii,in,xpack60,relevan,neutral,negative
1.15E+18,8/7/2019 17:30,@bharianmy semoga terbela adik ni. ,in,rarahahayuyu12,relevan,positive,positive
1.15E+18,8/7/2019 23:07, @bharianmy batu nisan untuk pelakunya,in,xpack60,relevan,neutral,negative
1.15E+18,9/7/2019 0:36,@bharianmy semoga nasib arwah dan keluarga terbela,in,HafizShapie,relevan,positive,positive
1.15E+18,9/7/2019 1:10,@anazierul geram en baca. pandai doh lawyer okt tu semua!!!! bayar lawyer 50k-100k banyak nak mampus duit mak bapak pembunuh tu,in,hannannorizan,relevan,neutral,negative
1.15E+18,9/7/2019 2:03,@bharianmy kalau aku dekat tempat ibu bapa mangsa mohon allah jatuhkan bala pada si pelaku. doa orang yang teraniaya insyallah makbul.,in,CarminePapillon,relevan,negative,negative
1.15E+18,9/7/2019 4:35,@bharianmy sempat lagi ramai2 mendoakan supaya arwah dapat keadilan,in,mixbear09,relevan,neutral,positive
